Campaign,Campaign type,Campaign subtype,Status,Networks,Languages,Bid strategy type,Budget,EU political ads,Ad group,Ad group type,Max CPC,Keyword,Match type,Ad,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Business name,Phone number,Country code,Verification URL,Sitelink text,Sitelink final URL,Callout text,Structured snippet header,Structured snippet values,Call phone number,Call country code,Call display location,Countdown text,Countdown date,Countdown time,Countdown language,Negative keyword,Negative keyword match type,YouTube channels,YouTube video
קמפיין חיפוש,Search,Standard,Paused,Google search; Search partners,Hebrew,Manual CPC,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין מותג,Search,Standard,Paused,Google search; Search partners,Hebrew,Manual CPC,30,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין GDN,Display,Standard,Paused,Display Network,Hebrew,Manual CPC,40,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין וידאו,Video,,Paused,YouTube,Hebrew,Manual CPC,30,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-צורך-בריאות,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-גישה-שרון,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-התקשרות-בלבד,Call only,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין מותג,,,Paused,,,,,,מותג-לומרה,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין GDN,,,Paused,,,,,,GDN-לא-המירו,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין GDN,,,Paused,,,,,,GDN-אפסייל,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין וידאו,,,Paused,,,,,,וידאו-לומרה,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-צורך-בריאות,,4,פילאטיס מכשירים,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-צורך-בריאות,,4,פילאטיס לגב,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-צורך-בריאות,,4,חיזוק ליבה פילאטיס,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-צורך-בריאות,,4,שיקום פציעה פילאטיס,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-צורך-בריאות,,4,פילאטיס שיפור יציבה,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-צורך-בריאות,,4,פילאטיס אחרי לידה,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-צורך-בריאות,,4,אימון ליבה נשים,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-גישה-שרון,,4,פילאטיס נתניה,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-גישה-שרון,,4,סטודיו פילאטיס השרון,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-גישה-שרון,,4,פילאטיס מכשירים השרון,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-גישה-שרון,,4,פילאטיס קרוב אלי,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-גישה-שרון,,4,סטודיו פילאטיס באזור השרון,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-גישה-שרון,,4,פילאטיס בנתניה והסביבה,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-גישה-שרון,,4,שיעורי פילאטיס השרון,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
